Bedrijfsnaam,Website,Bezoekadres,Postadres,KvK,E-mail,Organisatietype,Specialisatie
TinybotsB.V.,www.tinybots.nl,"Transistorweg7,6534ATNijmegen","Transistorweg7B,6534ATNijmegen",64712311,info@tinybots.nl,Bedrijf,"Domotica,ICT,Robotica"
GemeenteOss,http://www.oss.nl,"Raadhuislaan2,5341GMOss","Postbus5,5340BAOss",50616641,gemeente@oss.nl,Overheid,Gemeente
UniversiteitTwente,http://www.utwente.nl/,"Drienerlolaan5,7522NBEnschede","Postbus217,7500AEEnschede",50130536,info@utwente.nl,Kennisinstelling,WO
UrogynB.V.,http://www.urogynbv.com,"Transistorweg5,6534ATNijmegen","Transistorweg5A,6534ATNijmegen",9205140,info@urogynbv.com,Bedrijf,"Medicaldevices,Research&Development"
iGeneB.V.,http://www.igene.nl,"OudeHaven102,6511XHNijmegen","OudeHaven102,6511XHNijmegen",59321687,info@igene.nl,Niet bekend,Niet bekend
XenikosB.V.,,"Molenveldlaan152,6523RNNijmegen","Molenveldlaan152A,6523RNNijmegen",9206362,info@xenikos.com,Bedrijf,"Biotechnologie,Farma"
PlasmacureB.V.,http://www.plasmacure.nl/,"HighTechCampus12,5656AEEindhoven","HighTechCampus12,5656AEEindhoven",60074000,bas.zeper@plasmacure.nl,Bedrijf,Bedrijf-Medicaldevices
StichtingJeugdinterventies,www.stichtingjeugdinterventies.nl,"Endegeesterstraatweg36C,2342AKOegstgeest","Postbus37,2300AALeiden",27331172,info@stichtingjeugdinterventies.nl,Kennisinstelling,HBO
BabyMooni.o.,,"Transistorweg7,6534ATNijmegen","Transistorweg7B,6534ATNijmegen",67434134,geta.rasciuk@gmail.com,Bedrijf,Medicaldevices
TSGInnoteQ,,"Furkapas8,5624MDEindhoven","Furkapas8,5624MDEindhoven",17238527,info@tsggroup.nl,Bedrijf,"Bouwenelektrotechniek,Medicaldevices"
NèjhofB.V.,www.nejhof.nl,"Oremusplein5,6852PAArnhem","Luitenantstraat15,6852PAHuissen",68935668,info@hegeman-vbm.nl,Bedrijf,"Bouwenelektrotechniek,Huisvesting&Faciliteiten,Ontwikkelingsmaatschappij"
ILogos,http://www.ilogos.nl/,"Nimrodstraat50,6531LHNijmegen","Nimrodstraat50,6531LHNijmegen",53278925,Jochem@Ilogos.nl,Bedrijf,informatisering
Kostelyck,http://www.kostelyck.nl,"Italieweg19,2411NRBodegraven","Italieweg19,2411NRBodegraven",50608223,marcel@kostelyck.nl,Niet bekend,Niet bekend
VerenigingChirurgievoorMedischStudentenNederland(VCMSNederland),http://www.VCMS.nl/Nederland,"Catharijnesteeg8,3512NZUtrecht","Catharijnesteeg8,3512NZUtrecht",63950286,amc@vcms.nl,Netwerkorganisatie,Netwerkorganisatie
InnovativeTaxBV,http://www.innovativetax.nl/,"Bijsterhuizen3007,6604LPNijmegen","Postbus31255,6503CGNijmegen",55788076,info@innovativetax.nl,Bedrijf,"Consulting,Financieeladvies"
IXZI,http://www.ixzi.net,"Stratenmakersveste74,6846BKArnhem","Stratenmakersveste74,6846BKArnhem",62578847,info@ixzi.net,Bedrijf,"Consulting,eHealth,ICT"
FoodValley,http://www.foodvalley.nl,"NieuweKanaal7J,6709PAWageningen","Postbus294,6700AGWageningen",9145471,info@foodvalley.nl,Netwerkorganisatie,Food
AOMBIntellectualProperty,http://www.aomb.nl,"J.F.Kennedylaan2,5612ABEindhoven","Postbus645,5600APEindhoven",17074382,e.baeten@aomb.nl,Bedrijf,"Consulting,ICT,IPAdvies"
StichtingRijnstateZiekenhuis,http://www.rijnstate.nl,"Wagnerlaan55,6815ADArnhem","Postbus9555postnr.1910,6800TAArnhem",9096140,info@rijnstate.nl,Zorginstelling,AlgemeenZiekenhuis
IqualityBusinessSolutionsB.V.,www.iquality.com,"Jonkerbosplein52,6534ABNijmegen","Postbus6847,6503GHNijmegen",10042190,info@iquality.nl,Bedrijf,"Businessdevelopment,eHealth,ICT"
AlliantieVoedingGelderseVallei,www.alliantievoeding.nl,"WillyBrandtlaan10,6716RPEde","Postbus9025,6710HNEde",9202269,info@alliantievoeding.nl,Netwerkorganisatie,Netwerkorganisatie
TunstallB.V.,http://www.tunstall.nl,"Oslo28,2993LDBarendrecht","Postbus311,2990AHBarendrecht",24242776,mark.vanderpluym@tunstall.nl,Bedrijf,"Consulting,Domotica,eHealth,Ouderenzorg"
StichtingDirkdeDerde,,"HendrikMarsmanweg6,4103WSCulemborg","HendrikMarsmanweg6,4103WSCulemborg",58910492,info@dirkderde.nl,Niet bekend,Niet bekend
Ma2B.V.,http://www.ma2medical.com,"SciencePark400,1098XHAmsterdam","SciencePark400,1098XHAmsterdam",53242408,info@ma2medical.com,Bedrijf,"Medicaldevices,Research&Development"
Imagelabonline&Cardiovascular,http://www.imagelabonline.nl,"Lutterveld12,4117GVErichem","Lutterveld12,4117GVErichem",57695539,ericdg@xs4all.nl,Niet bekend,Niet bekend
ZorgnetApeldoorn,http://www.zorgnetapeldoorn.nl,"Beatrijsgaarde1,7329BKApeldoorn","Beatrijsgaarde1,7329BKApeldoorn",62868535,info@zorgnetapeldoorn.nl,Netwerkorganisatie,Netwerkorganisatie
JouwOmgevingHoldingB.V.,http://www.jouwomgeving.nl,"Maliebaan79,3581CGUtrecht","Maliebaan79,3581CGUtrecht",55511708,info@jouwomgeving.nl,Bedrijf,"eHealth,ICT"
DeernsNederlandBV,http://www.deerns.nl,"Fleminglaan10,2289CPRijswijk","Fleminglaan10,2289CPRijswijk",27047671,contact@deerns.com,Bedrijf,Bouwenelektrotechniek
O4WheelChairs,http://www.rolstoel.nl/,"Markenweg9,7051HSVarsseveld","Markenweg9,7051HSVarsseveld",9076744,s.beumer@o4.eu,Bedrijf,Medicaldevices
InforiumBV,www.inforium.nl,"Zuiderpark15,9724AGGroningen","Zuiderpark15,9724AGGroningen",63700441,info@inforium.nl,Bedrijf,eHealth
DEMCONadvancedmechatronics,https://www.demcon.nl/demcon/,"Institutenweg25,7521PHEnschede","Institutenweg25,7521PHEnschede",6070325,info@demcon.nl,Bedrijf,"Medicaldevices,Research&Development,Robotica"
Ernst&YoungNederlandLLP(EY),http://www.ey.com/nl/nl,"Meander861,6825MHArnhem","Postbus30116,6803ACArnhem",8098315,info@nl.ey.com,Bedrijf,Financieeladvies
ModderkolkProjects&MaintenanceBV,http://www.modderkolk.nl,"Nieuweweg131,6603BLWijchen","Postbus360,6600AJWijchen",10022937,rlamers@modderkolk.nl,Bedrijf,Bouwenelektrotechniek
TheEconomicBoardArnhemNijmegen,http://www.theeconomicboard.com,"Toernooiveld300,6525ECNijmegen","Toernooiveld300,6525ECNijmegen",65371992,bureau@theeconomicboard.com,Netwerkorganisatie,Netwerkorganisatie
ROCRijnIJssel,http://www.rijnijssel.nl,"Zypendaalseweg167,6814CJArnhem","Postbus5162,6802EDArnhem",41053084,info@rijnijssel.nl,Kennisinstelling,MBO
ChangingHealthcare,http://www.ChangingHealthcare.nl,"DeepPurplestraat5,6663HZLent","DeepPurplestraat5,6663HZLent",54552516,info@changinghealthcare.nl,Bedrijf,"Consulting,eHealth"
VanBaarsMedical,,"Grundellaan28,7552EDHengelo","Grundellaan28,7552EDHengelo",8091855,Niet bekend,Niet bekend,Niet bekend
DetronLifecycleServices,http://www.detronlifecycle.com,"Traverse1,3905NLVeenendaal","Postbus721,3900ASVeenendaal",30274692,adrie.van.lankveld@detron.nl,Niet bekend,Niet bekend
StichtingHealthValleyNetherlands,www.healthvalley.nl,"Transistorweg5R,6534ATNijmegen","Transistorweg5R,6534ATNijmegen",09165713,info@healthvalley.nl,Netwerkorganisatie,Niet bekend
Lacidem,www.lacidem.eu,"Wilhelminalaan6,3761DNSoest","Wilhelminalaan6,3761DNSoest",69976759,info@lacidem.eu,Bedrijf,"Marketing&communicatieadvies,Research&Development,Consultancy"
VSParticle,http://www.vsparticle.com/,"Molengraaffsingel10,2629JDDelft","Molengraaffsingel10,2629JDDelft",65630688,v.laban@vsparticle.com,Bedrijf,Research&development
NewVentureMatchB.V.,www.newventurematch.com,"JanKoklaan8,3829GZHooglanderveen","JanKoklaan8,3829GZHooglanderveen",67021239,eddy.vandenbrink@newventurematch.com,Bedrijf,"Businessdevelopment,Consulting"
StichtingLEO(CenterforServiceRobotics),http://www.leorobotics.nl,"Drienerlolaan5,7522NBEnschede","Postbus217,7500AEEnschede",51707705,info@leorobotics.nl,Bedrijf,"Netwerkorganisatie,Robotica"
ProvincieOverijssel,http://www.overijssel.nl,"Luttenbergstraat2,8012EEZwolle","Postbus10078,8000GBZwolle",51048329,postbus@overijssel.nl,Overheid,Provincie
