2ME Special Engineering B.V.,1671 NC
A-Industries BV,2661 GX
A. van Tilburg Hydrauliek BV,4706 RA
A.Hak Industrial Services BV,4196 HG
A+ Rigging Nederland B.V.,1671 GW
Aage Hempel Netherlands BV,3161 GJ
Aage Hempel Netherlands BV,3161 GJ
Aan 't Wiede Haven/camping/verhuur,7946 LV
Aankoop-en Expertisebureau Duursma & Versluijs,2341 SG
Aankoop-Expertisebureau Duursma & Versluijs,1412 GL
ABB BV,3000 AH
ABB BV,3000 AH
ABEKO Shipping B.V.,1948 PN
ABIS Shipping Company B.V.,8861 NX
ABN AMRO Bank,3012 AE
Abuco BV,1775 BA
ACICO Yachts B.V.,1601 EZ
Aciric C.V.,9934 PV
Aconcagua Bay Shipping Company B.V.,9728 JS
Acta Marine,1781 AE
Action-Hydro BV,1322 AD
Action-Hydro BV,1322 AD
Actrion Wage Services B.V.,3112 NC
Ad Spek Jachtbouw,2266 BM
Adel Polyester B.V.,8281 BP
Admarel B.V.,2952 CA
Admarel BV,2952 CA
Admarel BV,2952 CA
Adonai Shipping B.V.,3021 DM
Adriaan Kooren B.V. Sleepdienst,3072 AR
AEC Maritime BV,5657 DR
AEC Maritime BV,5657 DR
Aee Marine B.V.,1619 PB
Aegir Divecenter,6171 EE
Aegir-Marine BV,3961 MV
Aegir-Marine BV,3961 MV
Aggreko Nederland BV,4791 PB
Aggreko Nederland BV,4791 PB
Aggreko Nederland BV,4791 PB
Ahoy Rotterdam NV,3008 AC
Ahoy Rotterdam NV,3008 AC
Airborne Oil & Gas,1976 EC
AKD Advocaten & Notarissen,3006 AH
AKD Advocaten & Notarissen,3006 AH
AKD Advocaten en Notarissen,3072 AP
AKD NV,3072 AP
Akerboom Yacht Equipment,2300 AG
Akerboom Yacht Equipment,2300 AG
Alana Evita Shipping,7881 KH
Alanba Holding B.V.,3243 LG
Alara-Lukagro Noise Control Solutions,2964 LL
"Alblasserdam BV, Werf",2957 CL
"Alblasserdam BV, Werf",2957 CL
ALE Heavylift BV,4825 BD
Alewijnse Holding BV,6500 AB
Alewijnse Holding BV,6500 AB
Alewijnse Marine Rotterdam BV,2921 LP
Alewijnse Marine Systems BV,6500 AA
Alewijnse Marine Systems BV,6500 AA
Alewijnse Marine Technology B.V.,6541 CX
Alfa Laval Aalborg BV,4801 LJ
Alfa Laval Aalborg BV,4801 LJ
Alfa Laval Aalborg Nijmegen BV,6503 GD
Alfa Laval Aalborg Nijmegen BV,6503 GD
Alfa Laval Benelux,4817 ZZ
Alfa Laval Benelux BV,4801 LJ
Alfa Laval Benelux BV,4801 LJ
Alida Shipping BV,1811 CP
Alizee Shipping B.V.,3335 LR
Allpacks International,8305 BG
Allround International Yachtservice C.V.,3738 WB
Allround Watersport Meerwijck,9606 PP
Allround Zeilmakerij,4301 RS
Allseas Engineering BV,2612 PA
Allseas Group SA,1618 CH
Allseas Maritime Personnel (AMP),1781 AD
Alphatron Marine BV,3001 AA
Alphatron Marine BV,3001 AA
Altena Yachting B.V.,4941 TA
Amadeus Gold B.V.,9934 AR
Amadeus Silver B.V.,9934 AR
Amarcon BV,7722 RN
Amari Metals BV,4131 MD
Amazon Shipping B.V.,1811 CP
"Ambacht BV, Scheepswerf & Machinefabriek, 't",3340 AA
"Ambacht BV, Scheepswerf & Machinefabriek, 't",3340 AA
Ambachtelijk Botenbouw Centrum,3812 PB
Amels BV,4380 AB
Amels BV,4380 AB
Amels BV,4381 NA
Amilco Benelux B.V.,4691 SE
Amko B.V.,4251 NK
Ammon Beheer B.V.,9934 PV
Ampelmann Operations BV,2629 HS
Amsterdam Industrial Design BV,4704 RK
Amsterdam Marina B.V.,1033 RA
AMW-Marine,3340 AA
AMW-Marine,3340 AA
Anchor Insurance Rotterdam,3000 BK
Anchor Insurance Rotterdam,3000 BK
AncoferWaldram Steelplates BV,4905 BS
Andijk Yachting,1619 JW
Anker Verzekeringen N.V.,9728 BM
Ankerbeer BV,9615 TG
Ankerbeer BV,9615 TG
Anne-Dorte Shipping B.V.,3335 LR
ANS Maritime B.V.,9727 CD
Anthony Veder Rederijzaken B.V.,3016 BE
Antilla Shipping Company B.V.,9728 JS
Aon Risk Solutions,3063 ED
Aqua-Tech De Turfvaart,4871 NC
Aquacentrum Bremerbergse Hoek B.V.,8256 RD
Aqualicious Yachtcharter,8064 PN
Aquality BV,3250 AB
Aquality BV,3250 AB
Aquamore,1231 PC
Aquanaut Yachting Holland B.V.,8607 AB
Aquatec Industries B.V.,8551 RK
Aquavitesse Zeilschool,4311 NC
Ar.Co.In Holding B.V.,2993 LE
Aras Shipbrokers B.V.,3016 CB
Arc Marine,8243 PK
ArcelorMittal Projects Oil & Gas BV,4794 SL
Arctic Seatrade,8309 CC
Argument-Geomatica,4147 GK
Argument-Geomatica,4147 GK
ariadne-marine B.V.,1077 CR
Arklow Shipping Nederland B.V.,3067 GH
Arntz van Helden BV,3008 AV
Arntz van Helden BV,3008 AV
Aruba Shipping Company B.V.,9728 JS
ASIAN Lift PTE Ltd.,9356 SI
Assai Software Services BV,4103 NC
Atlantic Dawn C.V.,8322 BN
Atlantica,3243 LG
Atlas Copco Compressors Nederland,3330 AE
Atlas Copco Compressors Nederland,3330 AE
Atlas Copco Nederland BV,3336 LG
Atlas Services Group,2909 LG
Atlas Services Group Energy BV,2131 HA
Atlas Services Group Rotterdam,2909 LG
Auerhaan B.V.,8211 AR
Autobedrijf Bal B.V.,4698 PS
Autonieuw Ship Cleaning,1081 JJ
Avanti Charter,1697 KC
AVR Watersport B.V.,2741 PJ
Axces Emission Technology BV,4691 SL
Axces Emission Technology BV,4691 SL
AYOP,1013 AA
B. van den Hoven Jachtbouw B.V.,5165 NT
B.V. Beheermaatschappij Lady Alexandra,9934 AR
B.V. Beheermaatschappij Lady Amalia,9934 AR
B.V. Beheermaatschappij Lady Anna,9934 AR
B.V. Beheermaatschappij Lady Anneke,9934 AR
B.V. Merweplein,4251 NK
B.V. Merwesingel,4251 NK
B.V. Merwestone,4251 NK
B.V. Scheepswerf Damen Gorinchem,4202 MS
B.V. Scheepvaartonderneming CFL Perfect,9712 AC
B.V. Scheepvaartonderneming CFL Promise,9712 AC
B.V. Scheepvaartonderneming CFL Prospect,9712 AC
B.V. Scheepvaartonderneming CFL Prudence,9712 AC
B&N Watersport,4251 LA
Bach Yachting,8243 PD
Bachmann Electronic Nederland,3905 PD
Bachmann Electronic Nederland,3905 PD
Baggermaatschappij Boskalis B.V.,3356 LK
Baker & Mckenzie Amsterdam N.V.,1082 MD
Baker Hughes,1785 AK
Bakker Sliedrecht Electro Industrie BV,3364 AE
Bakker Sliedrecht Electro Industrie BV,3360 AA
Bakker Sliedrecht Electro Industrie BV,3360 AA
Bakotrans Shipping,8532 BR
Balance Point Control BV,7825 VT
Ballast Nedam Infra,3439 LM
Balluff BV,5232 BC
Barco Marine Equipment B.V.,3281 NE
Barge Master BV,2909 VA
Barkaris B.V.,1231 LE
Barkmeijer Stroobos BV,9872 PT
Barkmeijer Stroobos BV,9872 PT
Bauhuis International BV,7471 GG
Bayards Aluminium Constructies BV,2957 CP
BBS Bulk VI KS,2993 LV
BBS BV,3044 ER
BBS BV,3044 ER
BBS Watersport,3898 LN
BDO Groningen,9728 BM
Bebeka U.A.,9711 BH
Beekmann Expertise,1398 PA
Beekmans RVS  B.V.,5231 XA
Beheermaatschappij Zeeschelp B.V.,4401 NR
Beldick Automation BV,6716 BA
BELFOR Technology,3316 GD
BELFOR Technology,3316 GD
Bell Licht BV,3280 AC
Bell Licht BV,3280 AC
Belser Conditioning,5331 PT
Benes Machinefabriek BV,9600 AD
Benes Machinefabriek BV,9600 AD
Betuweoord Eiland van Maurik,4021 GG
Beuving V.O.F.,9493 TA
Bierens Machinefabrieken BV,5004 JA
Bierens Machinefabrieken BV,5004 JA
Biesbosch C.V.,9930 GZ
BigLift Shipping BV,1042 AA
Bijlberg C.V.,4251 NM
Bijlsma Shipyard BV,8530 AB
Bijlsma Shipyard BV,8530 AB
Bird & Bird LLP,2596 AW
Bird & Bird LLP,2596 AW
Bloem Doze Nienhuis,3011 XB
Bloem Doze Nienhuis,3011 XB
Blonk Jachtexpertise,3845 GJ
Blue Offshore BV,2593 BN
Blue Peter Watersport,1911 MT
Bluebird Consultant,3065 AH
Blueco Benelux BV,1040 KE
Blueco Benelux BV,1040 KE
Blueprint Marine B.V.,3446 CH
Bluestream Offshore BV,1786 RA
Bluewater Energy Services BV,2132 HR
BMT ARGOSS BV,8316 PT
BN Jachtservice,4794 SN
Boat Equipment Watersport B.V.,6051 JB
Boat Faria,9263 TA
Boat Import Holland B.V.,3851 SR
Boat Inn BV,8531 AA
Boatcity,8531 HJ
Bodewes Shipyards Harlingen BV,8860 AB
Bodewes Shipyards Harlingen BV,8860 AB
Bodycote Hardiff BV,7333 PA
Boeg Nautic Scheveningen,2583 DX
Boeg Nautic Scheveningen,2583 DX
Boeg Nautic Scheveningen,2583 DX
Boerenjachthaven van der Geest,2361 HG
Boesch Nederland B.V.,2159 LD
Bohr Instrument Services BV,7844 TG
BOIS Equipment Rentals BV,1704 SE
Bola Maritiem B.V.,2681 LP
Bolidt Kunststoftoepassing B.V.,3341 LJ
Bolt Jachtwerf V.O.F.,9204 WX
Bomert Watersport / Boatingworld Giethoorn,8355 AG
Bonito Boats B.V.,5361 GB
Bonn & Mees Drijvende Bokken,3087 AE
Bonnema Watersport B.V.,1231 NK
