Yoni.care,1016 GD
Robin Radar Systems,2516 AW
Basilisk-Contracting BV,2629 HD
Liquidseal Holding BV,2316 XG
Additive Industries BV,5617 AJ
FilmFabriek,3012 GH
Optics11 BV,1081 HV
Appical,1031 HL
VPInstruments,2614 GS
Rechtstreex,2595 CD
VSParticle,2628 BL
Spin Remote BV,4191 PB
Ziltproefbedrijf,1791 NT
NETICS BV,2952 AD
Sustainable Durable Systems,7552 HG
Holland Container Innovations NL BV,2629 HD
Bouman Proces Technologie BV (Bouman PT),7602 PG
Direct Current BV,1432 AH
Brightec BV,1075 BW
Drainvast BV,4882 KE
Lumeco BV,3341 LT
ARPO BV,5268 BC
RotterZwam Coöperatie U.A.,3053 PH
AWL-Techniek BV,3846 CE
Recornect,5617 BC
Dementia-App,1382 JL
Onegini,3447 GK
ABT BV,6881 NK
ORGA bouw,6533 ZG
Admesy BV,6014 CB
JAMwerkt.nl,5531 PB
BoTemp BV,4904 SK
GEGE machinebouw BV,5464 RA
BioBlocks BV,5275 EB
Hero Balancer,1715 KH
Ven Fasteners BV,5527 AJ
Hinova BV,2651 MX
BlueLeg Monitor BV,8606 JG
MDS BV,9752 CG
Translation Kings,1012 ZG
Metrica Sports BV,1098 XH
IT.PA BV,4731 VA
Wesemann Projects BV,3068 AW
Moonen Packaging,6003 DC
Logicapps,1019 RW
Grippy's/EF-FIS BV,4911 BC
I.C.Y. BV,8531 WC
Radically Open Security BV,1111 PP
STOPAQ BV,9503 JB
Sit & Heat,6604 LV
Microsure,5612 AZ
Pridea,3824 ML
Compumatica secure networks BV,5405 PD
Hulst Innovatie,9922 TE
Bynder BV,1017 MB
MochaDocs BV,7551 CA
Avic BV,5301 AW
Supergoed,3011 VW
United Care Products,9723 TC
Icecat NV,3439 LC
Synced BV,3811 ND
Coxx Mobile Systems,5121 DK
SNEW / No Time To Waste BV,5262 GD
Voicebooking.com,1087 HW
Black Box Engineering BV,5428 NW
Allpllast BV,4691 RW
Vitility International,5126 RK
A-VISION BV,7336 AV
Duurzaam Bouwloket,1841 JK
Arion Holding BV,6422 RE
SIRE Life Sciences BV,1017 CA
MavericksMade BV,1017 SP
Value Engineers,5222 AV
JDI internet professionals,6956 AX
Multi-Grip Europe,5551 RD
HyGear,6827 AV
Onora BV,5222 AE
Nettenergy BV,2771 GH
Semiotic Labs BV,1271 TP
NoFoodWasted BV,5047 TW
Soulve Innovations,3515 ET
Promedico ICT BV,3528 AE
VARI-STEPP,5371 CN
Ideetron BV,3941 JL
904Labs BV,1098 XH
Instral BV,8211 AR
Vexx BV,5222 AV
Pro-Oiler NL,5447 PP
Silver Solutions BV,2289 DA
Roem van Yerseke BV,4401 KZ
Bever Innovations BV,4301 RS
Widenhorn BV,3161 GL
Braingineers,1018 DH
MetaFactory,1014 BM
SalesWizard BV,6821 HX
Concapps,5222 AE
Lightwell BV,1114 AB
Things Connected,2582 XL
