10XL,3029 AK
3 Times Impact,1052 EL
Advanced Waste Water Solutions BV,4565 ER
Asperitas,2033 AA
Bamigo BV,5623 PE
BÈTA industrie BV ,2391 PM
BioCheck BV,3016 CE
BLAUD BV,3991 CD
Brightcows Barn BV / Briter,5247 JV
Buchelo BV,2931 AG
C-Job Naval Architects,2132 JN
Cerescon BV,5591 RC
Colsen (Colsen Participatie BV),4561 GX
CommonEasy,3526 KS
ConstruSteel ERP Software,7683 PP
Coolfinity Commercial BV,1183 AS
Crunchr,1097 DL
Cybersprint,2595 AN
De Jong V.O.F.,3985 SG
DENSsolutions,2628 ZD
Dyslexie Test & Tips,1251 BW
e-office BV,3991 CD
E-PortLiner Holding BV,6851 TH
EclecticIQ,1017 ND
EMF Finance BV,1411 RZ
Expivi BV,5632 PT
Factory Zero BV,4004 JA
Fawaka Ondernemersschool,1012 NS
Felyx,1017 BT
Fiberneering,8022 AW
Findest BV,1081 HV
FlexSol Solutions,2629 HG
Fresh-r / Vaventis BV,1381 AV
Fruitfunk,5222 AV
GEGE machinebouw BV,5464 RA
Groasis BV,4651 PV
GROW Labs,1183 AS
H2O Technics BV,1771 SP
HBD,2408 BZ
Horus VR Experience BV,9781 DA
Houweling Groep,2665 LP
HTC Parking & security,2742 KL
IBIS Power,5617 AC
Innovative Mechatronic Systems BV,2628 BC
Invented 4 Kids BV,1078 KW
Invi,3029 AK
Ipsum Energy,7521 AG
Janssen Precision Engineering BV,6199 AG
Kalfsvel Metaalcoating BV,1507 BR
Kvartett,5617 BC
Ledger Leopard,2496 XD
Liquit BV,3311 LA
LockHard Nederland BV,9247 BT
Milvum,2516 AC
Moton Lubricants BV,9403 AV
MyCademy,6827 BS
Nemag BV,4301 RC
NETICS BV,2952 AD
Nijhuis Industries BV,7007 CD
Parhelion BV,3029 AK
Quantib BV,3012 KM
RAW Paints BV,2041 NC
Remoticom,5048 AB
Roelofs Groep,7683 BJ
De Röntgendokters,4811 HR
RoomRaccoon BV,4811 AJ
RosterBuster BV,2729 AK
Sanitronics International BV,3044 BA
SendCloud,5642 CV
Shellfish Protection,4401 HJ
SIEPLO BV,6741 PT
Skylab Analytics,1031 KG
Smart Robotics,5684 PL
Sneleentaxi,3542 AA
Solar Energy Booster BV,7044 AB
SPIRIT solar lighting BV,5349 AZ
Sprinklr BV,1033 SC
Sqills Group BV,7521 PN
Stackdoor Products,3846 CG
Stichting ITurnIT,9723 ZA
Stichting ProStartle,2931 AG
Stogger BV,5981 PK
Teqram - Vision Guided Robotics,8042 PH
ThijsTea BV,1021 KP
TiePie engineering,8601 WL
Tiledmedia BV,3061 BC
TUSTI,5612 AR
twnkls | augmented reality,3013 AK
TWTG,2909 LA
Umenz Benelux BV,1216 SK
Use All Energy BV,7497 NX
Van Raam,7051 CM
Vandebron,1017 BW
VanderSat,2011 VK
Viacryp BV,1013 AP
ViriCiti,1055 RD
VitalFluid,6536 GL
weMaron BV,6641 TA
White Lioness technologies BV,1013 CN
Widenhorn BV,3161 GL
