Manometric,"In Nederland krijgen elk jaar meer dan 250.000 patiënten met reuma, artrose of andere lange-termijn aandoeningen maatgemaakte hand/pols ortheses (braces). Productie van deze braces is erg kostbaar vanwege het ambachtelijke proces, en het is erg lastig om een consistente kwaliteit te garanderen. Huidige orthesen schieten vaak te kort qua functionaliteit en uiterlijk. Als resultaat belanden  orthesen in de kast met als gevolg dat de patiënt meer pijn ervaart en de aandoening verslechtert."
AirBliss+,"More than 95% of the world’s population breathes dangerous air, resulting in medical disorders causing more deaths than AIDS or Diabetes. However, there is a limited understanding of air pollution metrics and evidence of real time pollution levels. Existing products in the market that protect against air pollution have poor user experience and a low reuse rate. The AirBliss+ product is a comfortable, smart air mask, which ensures a high filter efficiency and eliminates leakage of bad air. The mask is fitted with state-of-the-art sensors and connectivity to enable notifications to the user and real-time data collection. A trial phase will be launched this summer in London with the early adopters. The minimum viable product that will be tested this summer is expected mid-June."
Gilbert Technologies,"Wereldwijd zijn er honderden miljoenen mensen die lijden aan chronische longaandoeningen zoals Taaislijmziekte, Astma, COPD, Longfibrose, Pulmonale Hypertensie, Oncologie, etc. Een groot deel van deze patiënten wordt behandeld met medicatie via een inhalator, vernevelaar en/of systemische toediening. Slechts 10 tot 20 procent van de gedoseerde medicatie bereikt het doelgebied: de longen. De rest gaat verloren in de keelholte, de inhalator, uitgeademde lucht en de omgeving. Patiënten ervaren hierdoor bijwerkingen, wat resulteert in een lage therapietrouw (50 procent) onder chronisch zieken."
My Beaker,"Op dit moment worden vochtlijsten bijgehouden waarop zorgverleners aangeven hoeveel de patiënt gedronken heeft. Deze lijsten zijn echter onbetrouwbaar, omdat ze slecht worden bijgehouden en de daadwerkelijke consumptie moeilijk te meten is. Informatie over vochtinname is belangrijk voor het maken van medische beslissingen. Het is daarom essentieel dat deze informatie kloppend is. Vochtlijsten worden veel gebruikt bij patiënten met een cognitieve stoornis zoals dementie, hart- en nierpatiënten en patiënten met een infuus of diuretica. De innovatie van My Beaker is een beker die bijhoudt hoeveel er gedronken is door middel van sensoren. Daarnaast wordt er ook bepaald of iemand zijn/haar lippen aan de beker zet en dus daadwerkelijk drinkt."
Enzyre,"Mensen met een bloedstollingsafwijking hebben risico op bloedingen. Hieronder vallen patiënten met hemofilie, patiënten in een ambulance, op de intensive care en operatiekamer, en ook patiënten die bloedverdunners gebruiken. Er is een betere test nodig om (het risico op) bloedingen bij deze patiënten te managen. Dit komt doordat de huidige methoden lang duren, duur zijn en alleen uitgevoerd kunnen worden in gespecialiseerde laboratoria. De nieuwe technologie maakt het ontwikkelen van een snelle point-of-care test en persoonsgerichte behandeling mogelijk."
Concord,"1 op de 10 baby’s heeft ademhalingsproblemen bij geboorte. Om meteen ademhalingsondersteuning te geven wordt de navelstreng direct doorgeknipt om de baby op een aparte reanimatietafel te behandelen. Het vroeg afnavelen kan schadelijk zijn en complicaties veroorzaken. Wachten met doorknippen van de navelsteng, totdat de baby is gestabiliseerd, zorgt voor een betere bloedcirculatie. Dit reduceert complicaties en voorkomt handicaps en sterfte."
Emosys,"Depressie is een geestesziekte die 300 miljoen mensen treft in Europa, met bijhorende kosten van meer dan € 118 miljard. Traditionele behandelingen (antidepressiva/ psychotherapie) werkt bij 30% van de getroffenen niet, en ongeveer 24% krijgt helemaal geen behandeling (bijvoorbeeld door bijwerkingen). In eerste instantie wordt het product gebruikt om het effect van de huidige therapie te maximaliseren. Later dient het als stand-alone therapie gebruikt worden."
Axiles Bionics,"Elk jaar ondergaan 75.000 mensen onderbeenamputaties in de EU. Het merendeel ontdekt dat de huidige prothetische voeten hun bewegingsvrijheid maar gedeeltelijk herstellen. Realiteit is dat prothetische voeten nog hetzelfde zijn als 30 jaar geleden, waarbij gang en postuur niet worden hersteld. Hierdoor heeft 90% van de geamputeerden last van chronische rugklachten, wat hun dagelijks leven ernstig beïnvloedt."
Momo Medical,"In de zorg is het ontstaan van doorligwonden (decubitus) bij bedlegerige patiënten een groot probleem. Naast dat deze ulcer-vorming pijnlijk is voor de patiënt, verhoogt het de zorgkosten en de werklast van de zorgprofessionals. Om doorligwonden te voorkomen moet de patiënt vaak van positie wisselen. Er is in de huidige zorg echter geen tijd om dit constant in de gaten te houden. Momo Medical kan op een vroeg stadium doorligwonden voorkomen door een slim matras met sensoren, geïntegreerd met het verpleegoproepsysteem (TRL 5)."
Livassured,"Livassured ontwikkelt een medisch hulpmiddel om nachtelijke epileptische aanvallen te detecteren. Door een unieke combinatie van hartslag- en bewegingssensoren, verwerkt in een comfortabele, gepatenteerde armband. Bij een aanval wordt er een alarm gegeven bij de zorgverlener. De innovatie kan de zorg bij een aanval sterk verbeteren, en zorgen voor rust en zekerheid bij ouders van epileptische kinderen. De eerste versie van het product verschijnt dit jaar op de Nederlandse markt, en in 2018 zal het product doorontwikkeld worden voor gebruik door kleine kinderen. In 2019 hoopt Livassured internationale groei in te zetten."
