BrabantseNon-Ferro Gieterij,Lokkerdreef 39,4879 ND Etten Leur,http://www.bnfgieterij.nl/
GEMCASTBV,Buitenvest 60,4614 AD BERGEN OP ZOOM,http://www.gemcast.nl/
MelisGieterijen Tilburg,Frans Mannaertsstraat 3,5046 AK  Tilburg,http://www.melisgieterijen.nl/
AluminiumGieterij Oldenzaal BV (AGO),Kleibultweg 70,7575 BV OLDENZAAL,http://www.iso.ch/
NonFerro Gieterij Christenhusz B.V.,Parelstraat 12,7554 TM Hengelo,http://www.nfgchristenhusz.nl/
GieterijDe Ruiter bv,Daam Schijfweg 8,1507 BD Zaandam,http://www.gieterijderuiter.nl
GieterijV.T.B. Leerdam bv,Handelstraat 6-8,4143 HT LEERDAM,http://www.vtb-leerdam.nl/
MEGAFAB.V.,Schaverijstraat 50-52,3534 AS UTRECHT,http://www.megafa.nl/
Wolders'Metaalgieterij BV,Prins Reinierstraat 5,4651 RZ STEENBERGEN NB,http://www.wolders.nl/
PrecisiewerkZierikzee bv,Julianastraat 48,4301 NC ZIERIKZEE,http://www.precisiewerk.nl
VostermansAlu Foundries bv,Jachthavenweg 5,5928 NT VENLO,http://alufoundries.vostermans.com/nl-af
AluminiumDonk bv,1e Industrieweg 5,3411 MG  LOPIK,http://www.donkindustries.nl/
MGPVenlo B.V.,Spikweien 37,5943 AC Lomm,http://www.mgp.nl/
HuismanNon Ferro Metaal B.V.,Kanaaldijk N.O. 104,5702 NW  HELMOND,http://www.hnf.nl/
LagergieterijHageman B.V.,Laanstraat 32 B,3762 KD Soest,http://www.bearingfoundry.com
