Jorritsma Bouw,8701 WS
Stadsschouwburg De Harmonie,8911 BP
Empatec,8600 AG
Spaansen,1731 LX
Gemeente Heerenveen,2528 KH
Gemeente Heerenveen,2528KH
De Friesland Zorgverzekeraar,8901 BB
Friesland College,3620 DC
Friesland College,3620DC
Paques BV,8561 EL
Empatec,8601 WJ
MKB Noord,9700 AC
Woningcorporatie Accolade,8440 AH
Friese Milieu Federatie,8934 CJ
FrieslandCampina,3818 LE
NHL Hogeschool,8917 DD
Friesland College,3620 DC
Friesland College,3620DC
Stadsschouwburg De Harmonie,8911 BP
ECOstyle,8430 AC
Gemeente Heerenveen,2528 KH
Gemeente Heerenveen,2528KH
Ondernemerskring Heerenveen,8440 AA
FrieslandCampina,3818 LE
NHL Hogeschool,8900 CB
Gemeente Opsterland,9244 ZP
Alynia Architecten,8860 AD
Gemeente Smallingerland,2528 KH
Gemeente Smallingerland,2528KH
Woningcorporatie Accolade,8440 AH
Lankhorst Engineered Products,8607 AD
Ondernemerskring Heerenveen,8440 AA
Bouwbedrijf Lont,9076 ZN
Snoek Hoveniers,9001 ZZ
AchterboschZantman Architecten,8901 AD
Oosterhof Holman,9843 HA
NHL Hogeschool,8917 DD
Westra ,8801 PL
Roelofs Groep,7683 BJ
KNN Groep BV,9723 BN
Veiligheidsregio Fryslân,8913 HR
WaterCampus,8934 CJ
Gemeente Tytsjerksteradiel,9251 GH
P. de Vries Installatie,5162 BO
Friesland College,3620 DC
Friesland College,3620DC
Van der Wiel,9206 AJ
Provincie Fryslân,8911 KZ
Bouw Waar,8601 VA
Jorritsma Bouw,8701 WS
Friesland College,8900 AA
Van der Wiel,9206 AJ
Friesland College,8900 AA
Lodema Elektrotechniek,8938 AJ
Anker Stuy,9485 AF
Anker Stuy,9485AF
Ekwadraat,8935 DG
De Friesland Zorgverzekeraar,8913 HR
Gemeente Heerenveen,2528 KH
Gemeente Heerenveen,2528KH
Oosterhof Holman,9843 HA
Omrin,8938 BA
Gemeente De Fryske Marren,2528 KH
Gemeente De Fryske Marren,2528KH
Gemeente Leeuwarden,8911 DH
Friesland College,3620 DC
Friesland College,3620DC
Friesland College,3620 DC
Friesland College,3620DC
Provincie Fryslân,8911 KZ
Van der Wiel,9206 AJ
Friesland College,8900 AA
Spaansen,1731 LX
Friesland College,3620 DC
Friesland College,3620DC
Stadsschouwburg De Harmonie,8911 BP
Donkergroen,2018 TR
Atlantis Handelshuis,1785 AJ
Opnieuw,9285 XX
Lankhorst Engineered Products,8607 AD
Gemeente De Fryske Marren,2528 KH
Gemeente De Fryske Marren,2528KH
Woningcorporatie Elkien,8932 NX
Lankhorst Engineered Products,8607 AD
Gemeente Leeuwarden,8911 DH
Bouwgroep Dijkstra Draisma,8700 AC
Hogeschool Van Hall Larenstein,8934 CJ
Gemeente Súdwest-Fryslân,2528 KH
Gemeente Súdwest-Fryslân,2528KH
Van der Wiel,9206 AJ
GEAR Architecten,9112 HL
Van der Wiel,9206 AJ
Gemeente Heerenveen,2528 KH
Gemeente Heerenveen,2528KH
Zilt Proefbedrijf,1797 RA
Zilt Proefbedrijf,1797RA
Samenwerkingsverband De Waddeneilanden,8860 AE
Ruiter MachineFabriek,8601 WC
Nivo Noord,8938 AK
Spaansen,1731 LX
Gemeente Dantumadiel,9104 BR
De Friesland Zorgverzekeraar,8901 BB
Spaansen,1731 LX
Gemeente De Fryske Marren,2528 KH
Gemeente De Fryske Marren,2528KH
Gemeente De Fryske Marren,2528 KH
Gemeente De Fryske Marren,2528KH
Wetterskip Fryslân,8914 BZ
Bouwbedrijf Lont,9076 ZN
Friesland College,3620 DC
Friesland College,3620DC
KNN Groep BV,9723 BN
Bioclear Earth,9727 DL
Provincie Fryslân,8911 KZ
Caparis,9207 AM
Nivo Noord,8938 AK
Gemeente Heerenveen,2528 KH
Gemeente Heerenveen,2528KH
Lodema Elektrotechniek,8938 AJ
Van der Wiel,9206 AJ
Van Vuuren,9001 ZE
Biomassa Fryslan,9035 AN
